agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
4857,8:04:41,32741201,NU0253,ND0026,0,None,0
1257,8:04:45,51222201,NU0190,ND0024,0,None,0
6363,8:04:45,81421201,NU0100,ND0011,0,None,0
6579,8:04:46,A1222201,NU0100,ND0021,0,None,0
3396,8:04:49,41221201,NU0253,ND0009,0,None,0
6634,8:04:56,B1521201,NF0077,ND0001,0,None,0
7707,8:04:56,91221202,NF0159,ND0020,72,ND0001,72
5849,8:04:58,51742201,NF0177,ND0027,0,None,0
8227,8:04:58,51221202,NU0253,ND0002,72,ND0026,72
8241,8:05:07,A1221202,NU0253,ND0020,72,ND0024,72
3076,8:05:10,C1121201,NU0253,ND0001,0,None,0
6254,8:05:11,B1221201,NU0091,ND0024,0,None,0
68,8:05:12,C2863021,NU0190,ND0002,0,None,0
1206,8:05:19,91131201,NU0190,ND0023,0,None,0
3485,8:05:20,61222201,NU0253,ND0011,0,None,0
6970,8:05:21,B1221202,NU0190,ND0013,72,ND0002,72
2625,8:05:24,A2221201,NF0159,ND0022,0,None,0
5516,8:05:29,72221201,NF0177,ND0020,0,None,0
6981,8:05:29,71221202,NU0190,ND0025,72,ND0002,72
7039,8:05:32,C1221202,NU0190,ND0005,72,ND0007,72
795,8:05:35,52228201,NU0190,ND0018,0,None,0
8360,8:05:37,61221202,NU0253,ND0007,72,ND0008,72
6915,8:05:38,82221202,NU0190,ND0018,72,ND0022,72
7024,8:05:39,91221202,NU0190,ND0027,72,ND0018,72
7118,8:05:39,A1221202,NU0190,ND0020,72,ND0012,72
7002,8:05:41,91221202,NU0190,ND0021,72,ND0005,72
5757,8:05:48,61121201,NF0177,ND0025,0,None,0
9419,8:05:48,B2228202,NU0100,ND0020,72,ND0015,72
7038,8:05:50,81222202,NU0190,ND0003,72,ND0011,72
7103,8:05:52,52228202,NU0190,ND0008,72,ND0027,72
2953,8:05:57,51221201,NF0159,ND0027,0,None,0
8906,8:05:57,F1962022,NF0177,ND0010,72,ND0026,72
7074,8:06:02,61221202,NU0190,ND0021,72,ND0007,72
8270,8:06:03,61221202,NU0253,ND0002,72,ND0013,72
3928,8:06:06,A1221201,NU0253,ND0018,0,None,0
7129,8:06:06,91221202,NU0190,ND0004,72,ND0022,72
6985,8:06:09,52321202,NU0190,ND0021,72,ND0027,72
7638,8:06:09,51222202,NF0159,ND0026,72,ND0004,72
4175,8:06:12,62221201,NU0253,ND0020,0,None,0
7709,8:06:13,91222202,NF0159,ND0002,72,ND0013,72
9556,8:06:15,52221202,NF0077,ND0008,72,ND0016,72
361,8:06:18,91221201,NU0190,ND0011,0,None,0
1587,8:06:18,71261021,NU0190,ND0027,0,None,0
3612,8:06:21,82221201,NU0253,ND0013,0,None,0
796,8:06:22,51221201,NU0190,ND0018,0,None,0
2076,8:06:22,52221201,NF0159,ND0012,0,None,0
2790,8:06:25,A2231201,NF0159,ND0025,0,None,0
3750,8:06:28,41261021,NU0253,ND0016,0,None,0
3205,8:06:31,61221201,NU0253,ND0003,0,None,0
8220,8:06:32,C1221202,NU0253,ND0012,72,ND0001,72
470,8:06:34,F1322201,NU0190,ND0013,0,None,0
3353,8:06:34,52228201,NU0253,ND0007,0,None,0
4639,8:06:36,92221201,NU0253,ND0025,0,None,0
8214,8:06:36,92221202,NU0253,ND0021,72,ND0008,72
469,8:06:37,41621201,NU0190,ND0013,0,None,0
6743,8:06:37,A1421201,NF0077,ND0019,0,None,0
7105,8:06:37,81221202,NU0190,ND0027,72,ND0020,72
6961,8:06:38,72428202,NU0190,ND0002,72,ND0020,72
7007,8:06:38,B1222202,NU0190,ND0021,72,ND0013,72
9282,8:06:43,81221202,NU0091,ND0010,72,ND0005,72
2947,8:06:48,61222201,NF0159,ND0027,0,None,0
8936,8:06:48,52221202,NF0177,ND0027,72,ND0013,72
6417,8:06:50,62222201,NU0100,ND0013,0,None,0
8252,8:06:51,41621202,NU0253,ND0002,72,ND0004,72
7702,8:06:53,C1222202,NF0159,ND0013,72,ND0001,72
8984,8:06:55,71221202,NF0177,ND0009,72,ND0003,72
2592,8:06:56,A2128201,NF0159,ND0021,0,None,0
4545,8:06:57,72222201,NU0253,ND0024,0,None,0
6116,8:07:05,A2221201,NU0091,ND0011,0,None,0
6238,8:07:05,81221201,NU0091,ND0021,0,None,0
5903,8:07:08,A15F1101,NU0091,ND0001,0,None,0
7016,8:07:09,C2221202,NU0190,ND0001,72,ND0013,72
8272,8:07:09,91221202,NU0253,ND0022,72,ND0003,72
2192,8:07:10,91221201,NF0159,ND0015,0,None,0
4254,8:07:12,82221201,NU0253,ND0021,0,None,0
9424,8:07:16,62228202,NU0100,ND0027,72,ND0026,72
4170,8:07:17,712F1101,NU0253,ND0020,0,None,0
7073,8:07:19,81221202,NU0190,ND0024,72,ND0024,72
8203,8:07:22,91221202,NU0253,ND0018,72,ND0018,72
8352,8:07:23,81228202,NU0253,ND0007,72,ND0014,72
9521,8:07:23,B1521202,NF0179,ND0015,72,ND0012,72
1520,8:07:27,92221201,NU0190,ND0026,0,None,0
7774,8:07:27,A1221202,NF0159,ND0002,72,ND0001,72
7731,8:07:29,71131202,NF0159,ND0008,72,ND0009,72
7720,8:07:30,41221202,NF0159,ND0004,72,ND0001,72
72,8:07:31,G2966021,NU0190,ND0002,0,None,0
1112,8:07:35,61221201,NU0190,ND0021,0,None,0
479,8:07:36,82322201,NU0190,ND0013,0,None,0
3398,8:07:39,A1221201,NU0253,ND0009,0,None,0
1987,8:07:40,82221201,NF0159,ND0009,0,None,0
4449,8:07:41,72322201,NU0253,ND0023,0,None,0
4537,8:07:41,722J6021,NU0253,ND0024,0,None,0
3609,8:07:44,52221201,NU0253,ND0013,0,None,0
8218,8:07:46,62321202,NU0253,ND0020,72,ND0013,72
5226,8:07:47,62232201,NF0177,ND0011,0,None,0
8377,8:07:47,A1221202,NU0253,ND0001,72,ND0016,72
154,8:07:49,A1221201,NU0190,ND0005,0,None,0
5520,8:07:49,42221201,NF0177,ND0020,0,None,0
7650,8:07:49,52228202,NF0159,ND0016,72,ND0013,72
8351,8:07:49,51121202,NU0253,ND0020,72,ND0026,72
8400,8:07:50,A1522202,NU0253,ND0017,72,ND0027,72
7135,8:07:55,61222202,NU0190,ND0014,72,ND0011,72
9275,8:07:58,A1221202,NU0091,ND0005,72,ND0004,72
8371,8:08:01,41221202,NU0253,ND0011,72,ND0017,72
6800,8:08:02,62221201,NF0077,ND0022,0,None,0
8312,8:08:08,82261022,NU0253,ND0012,72,ND0013,72
9423,8:08:08,91223202,NU0100,ND0007,72,ND0003,72
8994,8:08:10,C1422202,NF0177,ND0027,72,ND0016,72
1893,8:08:12,916B1011,NF0159,ND0005,0,None,0
3397,8:08:12,42741201,NU0253,ND0009,0,None,0
2787,8:08:15,42741201,NF0159,ND0025,0,None,0
2776,8:08:18,A1222201,NF0159,ND0025,0,None,0
